Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,HDD,SSD,Price
HP,Notebook,8,1.9,0,0,141.2119981,1000,0,67612.32
Asus,Notebook,4,2.37,0,0,100.4546699,1000,0,21258.1872
HP,Notebook,4,2.1,0,0,100.4546699,500,0,17582.4
Lenovo,Gaming,16,3.2,0,1,141.2119981,1000,256,79866.72
Dell,Notebook,8,1.6,0,0,157.3505121,0,256,45767.52
Acer,2 in 1 Convertible,8,1.6,1,1,165.6321181,0,256,36709.92
Dell,Notebook,16,2.36,0,0,141.2119981,0,256,47898.72
Acer,Notebook,4,2.1,0,0,100.4546699,1000,0,20779.2
Asus,Notebook,4,2.2,0,0,141.2119981,1000,128,30636.0
Asus,Gaming,32,4.7,0,0,127.3356746,1000,512,207259.2
Acer,Gaming,8,2.5,0,1,141.2119981,0,256,45074.88
Lenovo,Notebook,8,2.2,0,0,100.4546699,0,128,31381.92
Asus,Notebook,8,2.1,0,0,127.3356746,1000,128,61005.6
Asus,Notebook,8,2.69,0,0,127.3356746,1000,128,47365.92
Dell,Gaming,8,2.56,0,0,141.2119981,0,256,46833.12
Lenovo,2 in 1 Convertible,8,1.38,1,1,158.4825302,0,256,57489.12
Dell,Notebook,8,2.2,0,0,141.2119981,2000,128,52480.8
HP,Notebook,8,2.04,1,0,100.4546699,1000,0,29783.52
Asus,Gaming,16,3.6,0,0,127.3356746,0,256,159786.72
HP,Notebook,4,1.49,0,1,165.6321181,500,0,35964.0
Apple,Ultrabook,8,1.37,0,1,226.9830047,0,512,108691.2
Dell,2 in 1 Convertible,8,2.08,1,1,141.2119981,1000,0,43636.32
Asus,Gaming,16,4.3,0,0,127.3356746,1000,256,95850.72
Asus,Notebook,4,1.68,0,0,100.4546699,1000,0,24988.32
Lenovo,2 in 1 Convertible,8,1.37,1,1,158.4825302,0,512,98514.72
Acer,Notebook,4,3.0,0,1,127.3356746,0,256,37402.56
Dell,Ultrabook,8,1.41,0,0,165.6321181,0,256,50562.72
HP,Notebook,8,1.91,0,0,100.4546699,0,128,23757.552
HP,Notebook,16,2.9,0,1,127.3356746,1000,0,56423.52
MSI,Gaming,16,4.14,0,0,127.3356746,1000,512,133146.72
Lenovo,2 in 1 Convertible,8,2.0,1,1,141.2119981,0,512,90522.72
Dell,Notebook,8,2.8,0,0,127.3356746,1000,128,60845.76
Lenovo,Notebook,4,2.2,0,0,141.2119981,0,256,23656.32
HP,Notebook,4,2.1,0,1,141.2119981,500,0,38468.16
Dell,Notebook,4,2.18,0,0,141.2119981,1000,0,35004.96
Dell,Notebook,8,2.24,0,0,141.2119981,1000,0,30103.2
Dell,2 in 1 Convertible,8,2.67,1,0,141.2119981,0,256,42570.72
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321181,0,1024,79866.72
Lenovo,Notebook,4,2.2,0,0,141.2119981,1000,0,24881.76
HP,Notebook,8,2.5,0,0,127.3356746,1000,0,54239.04
Lenovo,Notebook,8,2.05,0,0,141.2119981,0,256,46886.4
Apple,Ultrabook,8,1.37,0,1,226.9830047,0,512,104370.192
Asus,Gaming,16,3.2,0,0,127.3356746,1000,256,82530.72
Dell,Notebook,8,2.14,0,0,141.2119981,0,256,39164.5296
